"Label","site_id","Ecosystem","GAP_No","WeatherFolder","X_WGS84","Y_WGS84","ELEV_m","ASPECT","SLOPE","Include_YN"
"MS1_sbs_0983_5455",983,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,"MS1_sbs_0983_5455_data_42.5625_-111.0625",-111.108624368,42.5485113799,2394,187,22,1
"MS1_sbs_0984_5455",984,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,"MS1_sbs_0984_5455_data_41.1875_-119.9375",-119.919171792,41.1937914154,1876,71,7,1
"MS1_sbs_0985_5455",985,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,NA,-115.911140809,41.8838261711,2113,183,15,0
"MS1_sbs_0986_5257",986,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_0986_5257_data_41.6875_-117.1875",-117.144470987,41.6820307083,1811,319,3,1
"MS1_sbs_0987_5455",987,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,NA,-114.267514033,42.1269275899,2019,191,4,0
"MS1_sbs_0988_5257",988,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-109.862300302,42.6675615924,2170,140,3,0
"MS1_sbs_0989_5257",989,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-111.764322707,42.4468859402,1528,169,5,0
"MS1_sbs_0990_5257",990,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_0990_5257_data_41.3125_-119.1875",-119.13241239,41.319631816,1716,260,2,1
"MS1_sbs_0991_5454",991,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_0991_5454_data_42.8125_-108.5625",-108.597012397,42.7888496363,1648,23,4,1
"MS1_sbs_0992_5257",992,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_0992_5257_data_41.8125_-116.5625",-116.546024616,41.7607297841,1523,317,3,1
"MS1_sbs_0993_5455",993,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,NA,-115.197257468,41.9620113219,1874,63,12,0
"MS1_sbs_0994_5455",994,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,"MS1_sbs_0994_5455_data_41.9375_-115.0625",-115.069104051,41.9801593033,2469,55,17,1
"MS1_sbs_0995_5455",995,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,"MS1_sbs_0995_5455_data_41.8125_-115.9375",-115.876687101,41.8546780074,2012,263,7,1
"MS1_sbs_0996_5454",996,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-109.675886509,42.6656903476,2205,261,2,0
"MS1_sbs_0997_5257",997,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_0997_5257_data_41.3125_-119.3125",-119.251993231,41.2779217591,1549,126,2,1
"MS1_sbs_0998_5257",998,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_0998_5257_data_41.1875_-119.8125",-119.827163714,41.156847754,1623,303,6,1
"MS1_sbs_0999_5257",999,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_0999_5257_data_41.4375_-117.9375",-117.989991405,41.4919852587,1278,130,1,1
"MS1_sbs_1000_5454",1000,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_1000_5454_data_43.0625_-105.6875",-105.669302266,43.0106460694,1613,150,3,1
"MS1_sbs_1001_5257",1001,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1001_5257_data_41.5625_-117.5625",-117.599080481,41.5485121285,1611,36,3,1
"MS1_sbs_1002_5454",1002,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_1002_5454_data_42.9375_-105.6875",-105.722163354,42.9978092457,1677,211,2,1
"MS1_sbs_1003_5257",1003,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-116.30341295,41.7528760455,1587,124,1,0
"MS1_sbs_1004_5257",1004,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1004_5257_data_42.5625_-110.0625",-110.123310332,42.5809859018,2112,144,0,1
"MS1_sbs_1005_5454",1005,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-108.530663888,42.7432762682,1733,78,3,0
"MS1_sbs_1006_5454",1006,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-104.90484715,43.041822473,1462,43,5,0
"MS1_sbs_1007_5455",1007,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,NA,-115.950528854,41.8025318818,1843,186,15,0
"MS1_sbs_1008_5257",1008,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1008_5257_data_41.1875_-119.3125",-119.27458302,41.2311939592,1641,314,2,1
"MS1_sbs_1009_5257",1009,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1009_5257_data_42.1875_-113.0625",-113.080534551,42.2034731402,1692,301,20,1
"MS1_sbs_1010_5257",1010,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1010_5257_data_41.0625_-120.3125",-120.269418206,41.022461142,1942,279,7,1
"MS1_sbs_1011_5454",1011,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-108.27571217,42.7394919782,1714,91,4,0
"MS1_sbs_1012_5257",1012,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-113.2324037,42.1640496561,1587,270,1,0
"MS1_sbs_1013_5257",1013,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-119.270389605,41.1933034091,1723,354,11,0
"MS1_sbs_1014_5257",1014,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1014_5257_data_41.9375_-114.4375",-114.467074089,41.9853553431,1803,34,1,1
"MS1_sbs_1015_5257",1015,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1015_5257_data_41.5625_-116.9375",-116.977811584,41.5891430834,1633,24,1,1
"MS1_sbs_1016_5257",1016,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-114.471763899,41.9751098906,1862,333,4,0
"MS1_sbs_1017_5454",1017,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_1017_5454_data_40.9375_-120.6875",-120.66472227,40.9138346227,1758,118,5,1
"MS1_sbs_1018_5454",1018,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-105.400447696,42.9482484299,1618,57,2,0
"MS1_sbs_1019_5257",1019,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-114.428603299,41.9706939313,1793,87,3,0
"MS1_sbs_1020_5257",1020,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1020_5257_data_42.0625_-113.5625",-113.552304822,42.0933012386,1611,279,2,1
"MS1_sbs_1021_5454",1021,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_1021_5454_data_42.6875_-108.1875",-108.138407852,42.7153288977,2221,115,14,1
"MS1_sbs_1022_5454",1022,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_1022_5454_data_42.8125_-106.8125",-106.79062177,42.8326573256,1733,167,3,1
"MS1_sbs_1023_5257",1023,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1023_5257_data_41.0625_-119.9375",-119.993159689,41.0304757896,1609,190,5,1
"MS1_sbs_1024_5257",1024,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1024_5257_data_41.5625_-116.8125",-116.76361726,41.6019700328,1651,244,1,1
"MS1_sbs_1025_5257",1025,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-113.204756201,42.1306803808,1696,271,4,0
"MS1_sbs_1026_5455",1026,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,"MS1_sbs_1026_5455_data_41.8125_-115.5625",-115.548285859,41.7836944348,2158,326,27,1
"MS1_sbs_1027_5257",1027,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-119.168743482,41.1671284725,1441,132,14,0
"MS1_sbs_1028_5455",1028,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,"MS1_sbs_1028_5455_data_41.8125_-115.1875",-115.146383091,41.8363785568,2148,125,2,1
"MS1_sbs_1029_5454",1029,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-108.520047778,42.6522371397,1879,276,10,0
"MS1_sbs_1030_5257",1030,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1030_5257_data_41.0625_-119.8125",-119.87446734,41.0244547995,1438,297,0,1
"MS1_sbs_1031_5455",1031,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,"MS1_sbs_1031_5455_data_41.6875_-115.6875",-115.721719491,41.7289325361,2031,109,21,1
